,Current,Fc,Tc,Tr,Tj
216,12.0,0.5,32.13678759,36.28361498,31.57805241
217,12.0,0.5,32.33996402,36.34578697,31.60344947
218,12.0,0.5,32.36536107,35.97275505,31.60344947
219,12.0,0.5,32.41615518,36.09709902,31.57805241
220,12.0,0.5,32.11139054,36.28361498,31.60344947
221,12.0,0.5,32.26377286,36.28361498,31.70503768
222,12.0,0.5,31.78122884,36.12818501,31.60344947
223,12.0,0.5,32.41615518,36.53230293,31.60344947
224,12.0,0.5,32.36536107,36.50121694,31.57805241
225,12.0,0.5,32.5685375,36.53230293,31.65424357
226,12.0,0.5,32.33996402,35.97275505,31.70503768
227,12.0,0.5,32.31456697,36.40795896,31.60344947
228,12.0,0.5,31.88281706,36.34578697,31.37487599
229,12.0,0.5,32.23837581,36.47013094,31.65424357
230,12.0,0.5,32.23837581,36.62556091,31.70503768
231,12.0,0.5,31.90821411,36.221443,31.55265536
232,12.0,0.5,32.31456697,36.221443,31.65424357
233,12.0,0.5,32.26377286,36.34578697,31.57805241
234,12.0,0.5,32.33996402,36.34578697,31.65424357
235,12.0,0.5,32.31456697,36.50121694,31.1463025
236,12.0,0.5,31.98440527,36.53230293,31.37487599
237,12.0,0.5,32.13678759,36.28361498,31.67964063
238,12.0,0.5,32.26377286,36.221443,31.67964063
239,12.0,0.5,32.31456697,36.59447492,31.60344947
240,12.0,0.5,32.31456697,36.34578697,31.57805241
241,12.0,0.5,31.73043474,36.59447492,31.67964063
242,12.0,0.5,32.13678759,36.53230293,31.60344947
243,12.0,0.5,31.98440527,36.53230293,31.57805241
244,12.0,0.5,32.33996402,36.47013094,31.60344947
245,12.0,0.5,32.08599348,36.50121694,31.1463025
246,12.0,0.5,32.33996402,36.53230293,31.60344947
247,12.0,0.5,32.59393455,36.50121694,31.83202295
248,12.0,0.5,32.26377286,36.53230293,31.78122884
249,12.0,0.5,32.23837581,36.40795896,31.24789072
250,12.0,0.5,32.26377286,36.84316286,31.70503768
251,12.0,0.5,32.36536107,37.06076482,31.57805241
252,12.0,0.5,32.44155223,36.40795896,31.8066259
253,12.0,0.5,31.52725831,36.50121694,31.60344947
254,12.0,0.5,32.36536107,36.53230293,31.60344947
255,12.0,0.5,32.33996402,36.53230293,31.60344947
256,12.0,0.5,32.36536107,36.53230293,31.65424357
257,12.0,0.5,32.26377286,36.74990488,31.60344947
258,12.0,0.5,32.26377286,36.53230293,31.70503768
259,12.0,0.5,32.41615518,36.59447492,31.83202295
260,12.0,0.5,32.33996402,36.53230293,31.85742
261,12.0,0.5,32.44155223,36.40795896,31.12090545
262,12.0,0.5,32.44155223,36.6566469,31.95900822
263,12.0,0.5,32.33996402,36.74990488,31.85742
264,12.0,0.5,32.31456697,36.34578697,32.00980232
265,12.0,0.5,32.33996402,36.6566469,31.60344947
266,12.0,0.5,32.44155223,36.6566469,31.4764642
267,12.0,0.5,32.41615518,36.53230293,31.70503768
268,12.0,0.5,31.88281706,36.40795896,31.60344947
269,12.0,0.5,32.13678759,36.53230293,31.8066259
270,12.0,0.5,32.23837581,36.59447492,31.85742
271,12.0,0.5,32.00980232,36.53230293,31.57805241
272,12.0,0.5,32.41615518,36.6566469,31.70503768
273,12.0,0.5,32.13678759,37.1540228,31.70503768
