Bank Code,IFSC,MICR,Bank Name
ACBX,HDFC0CADARS,385575501,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,395575000,ADARSH CO OPERATIVE BANK LTD
ACCX,IBKL0100ACB,ACEB0000002,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,ACEB0000003,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,ACEB0000004,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,ACEB0000005,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,ACEB0000006,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082456,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082579,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082580,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082581,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082582,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400876003,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400876004,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400876005,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400876006,ACE CO OP BANK LTD
ACKX,HDFC0CDACUB,416403003,DR ANNASAHEB CHOUGULE URBAN CO OP BANK LTD
ACKX,HDFC0CDACUB,416403004,DR ANNASAHEB CHOUGULE URBAN CO OP BANK LTD
ACKX,HDFC0CDACUB,416403005,DR ANNASAHEB CHOUGULE URBAN CO OP BANK LTD
ACOX,HDFC0CAMARN,UTIB0SAMB01,AMARNATH CO OP BANK LTD
ACOX,HDFC0CAMARN,380809000,AMARNATH CO OP BANK LTD
ACOX,HDFC0CAMARN,380809002,AMARNATH CO OP BANK LTD
ACOX,HDFC0CAMARN,380809003,AMARNATH CO OP BANK LTD
ACUB,HDFC0CACUB9,ICIC00ACUBL,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820102,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820103,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820104,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820105,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820106,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820107,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820108,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820109,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820110,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820111,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820112,THE ARYAPURAM CO OP URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0000001,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001001,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001002,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001003,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001004,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001005,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001006,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001007,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001008,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001009,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001010,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001011,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001012,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001013,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001014,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001015,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001016,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001017,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001018,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001019,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001020,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001021,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001022,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001023,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,ADBK0001024,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,500869002,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,500869003,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,500869004,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,500869005,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,500869006,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,500869007,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,500869008,THE ADARSH CO OPERATIVE URBAN BANK LTD
ACUX,ICIC00ADRSH,501869102,THE ADARSH CO OPERATIVE URBAN BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC002,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC003,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC004,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC005,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC006,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC007,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC008,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC009,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC010,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC011,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC012,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC013,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC014,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC015,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC016,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC017,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC018,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC019,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC020,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC021,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC022,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC023,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC024,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC025,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC026,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC027,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC028,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC029,THE AHMEDABAD DISTRICT CO OP BANK LTD
ADBX,GSCB0ADC001,GSCB0ADC030,THE AHMEDABAD DISTRICT CO OP BANK LTD
